Cell Cgi,Cell Tower Location,Comm Identifier,Comm Timedate String,Comm Type,Latitude,Longitude
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:44,SMS,-33.88417103,151.20235
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:46,SMS,-33.88417103,151.20235
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:46,SMS,-33.88417103,151.20235
5.05E+12,SURRY HILLS,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/11/14 9:49,Phone,-33.88964,151.21142
5.05E+106,HAYMARKET #,0767e517fa09e8bcc0b87461133830378a107619,4/12/14 8:16,Phone,-33.88032891,151.2056904
5050101531F05,REDFERN TE,6ce4ad58c49c34d1bf2eb8f0daa92a0669d43841,4/13/14 1:42,Phone,-33.89293336,151.2022962
50501015388B9,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/13/14 10:58,Phone,-33.89293336,151.2022962
50501015388BE,REDFERN TE,cad22015a5d60bd80c4a24a313f9962f6890a8b8,4/13/14 11:20,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/13/14 17:44,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,c8f92bd0f4e6fb45ed7fce96fc831b283db2b642,4/14/14 7:52,Phone,-33.89293336,151.2022962
5050101531F05,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/14/14 9:20,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 14:50,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 14:57,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 14:59,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 14:59,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 15:01,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,a804558e420ececf05faedf05722704a115f1b50,4/14/14 15:26,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/14/14 16:33,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/14/14 16:34,Phone,-33.89293336,151.2022962
50501015388BE,REDFERN TE,a804558e420ececf05faedf05722704a115f1b50,4/14/14 19:13,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 21:04,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 21:06,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 21:07,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 21:07,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 21:09,SMS,-33.89293336,151.2022962
50501015388B9,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/14/14 21:11,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/16/14 10:45,Phone,-33.89293336,151.2022962
505010153744F,CHINATOWN,62157ccf2910019ffd915b11fa037243b75c1624,4/16/14 11:59,Phone,-33.87829,151.20345
5.05E+103,HAYMARKET #,a24a4646d074a779b45b34b943a47bf33168f791,4/16/14 17:15,SMS,-33.88032891,151.2056904
5.05E+103,HAYMARKET #,a24a4646d074a779b45b34b943a47bf33168f791,4/16/14 17:18,SMS,-33.88032891,151.2056904
5050101531F08,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/17/14 14:48,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/17/14 14:49,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,c8f92bd0f4e6fb45ed7fce96fc831b283db2b642,4/17/14 15:59,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,4/17/14 17:42,Phone,-33.89293336,151.2022962
5050101531F05,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/18/14 13:48,Phone,-33.89293336,151.2022962
505010153111F,HAYMARKET #,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/18/14 15:31,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/18/14 15:34,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/18/14 15:46,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/18/14 15:49,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,e09b94f3bc39fe9e125904ce03f037899fd54c60,4/18/14 18:01,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,e09b94f3bc39fe9e125904ce03f037899fd54c60,4/18/14 18:01,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,e09b94f3bc39fe9e125904ce03f037899fd54c60,4/18/14 18:35,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,e09b94f3bc39fe9e125904ce03f037899fd54c60,4/18/14 18:35,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,e09b94f3bc39fe9e125904ce03f037899fd54c60,4/18/14 18:38,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,e09b94f3bc39fe9e125904ce03f037899fd54c60,4/18/14 18:38,SMS,-33.88032891,151.2056904
5050101527C33,FAIRLIGHT 137 SYDNEY RD,a5834ee77b2c1dd26c78966f5e2c989c453878ba,4/19/14 12:34,Phone,-33.79661,151.27756
505010152168F,MANLY #,9039f13710c84d207864169cacc97ddc1b5accb1,4/21/14 10:12,SMS,-33.796679,151.285293
505010153111F,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/22/14 19:26,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/22/14 19:29,SMS,-33.88032891,151.2056904
5.05E+103,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/22/14 19:40,SMS,-33.88032891,151.2056904
5.05E+103,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/22/14 19:42,SMS,-33.88032891,151.2056904
5050101531F05,REDFERN TE,7f777edca3555fc1859fa24bddab1ed9dc5936d7,4/23/14 13:37,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,c8f92bd0f4e6fb45ed7fce96fc831b283db2b642,4/23/14 16:07,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,7f777edca3555fc1859fa24bddab1ed9dc5936d7,4/23/14 16:08,Phone,-33.89293336,151.2022962
5050101531F05,REDFERN TE,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/23/14 16:17,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/23/14 16:20,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/23/14 16:24,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/23/14 16:26,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/23/14 16:28,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,746da741fb2ac66a5130b1ce2ee4615a58b356ae,4/23/14 16:29,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/23/14 16:45,Phone,-33.89293336,151.2022962
5.05E+106,HAYMARKET #,a24a4646d074a779b45b34b943a47bf33168f791,4/23/14 19:39,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,a24a4646d074a779b45b34b943a47bf33168f791,4/23/14 19:45,SMS,-33.88032891,151.2056904
5050101532B23,CHIPPENDALE,a3dfe2f2e41135cee91149d5d5ffb323b30a6354,4/24/14 0:51,Phone,-33.88417103,151.20235
5050101536E5F,CHIPPENDALE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 1:40,SMS,-33.88417103,151.20235
5050101536E5F,CHIPPENDALE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 1:41,SMS,-33.88417103,151.20235
5050101531F05,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 10:16,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,7f777edca3555fc1859fa24bddab1ed9dc5936d7,4/24/14 14:54,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,4/24/14 14:55,Phone,-33.89293336,151.2022962
5050101532B25,CHIPPENDALE,7f777edca3555fc1859fa24bddab1ed9dc5936d7,4/24/14 15:02,Phone,-33.88417103,151.20235
5.05E+103,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/24/14 18:58,Phone,-33.88032891,151.2056904
5050101538F8F,CHIPPENDALE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:09,SMS,-33.88417103,151.20235
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:11,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:11,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:31,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:41,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:41,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:44,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:45,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:48,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:51,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:52,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:52,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:57,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 22:57,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/24/14 23:01,SMS,-33.88032891,151.2056904
5.05E+103,HAYMARKET #,7325eeeaf3601e7d67d601e7fbfd5282764c5c3a,4/25/14 17:34,Phone,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/25/14 21:27,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,cd3b39466869088df4904451c626591cc500e4ba,4/25/14 21:27,SMS,-33.88032891,151.2056904
50501015388BC,REDFERN TE,a804558e420ececf05faedf05722704a115f1b50,4/26/14 11:11,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 11:47,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 11:49,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 11:55,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 11:55,SMS,-33.89293336,151.2022962
50501015388B9,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 11:57,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 11:58,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 12:14,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 12:21,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 12:34,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,cd3b39466869088df4904451c626591cc500e4ba,4/26/14 12:38,SMS,-33.89293336,151.2022962
50501015388BE,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/27/14 11:35,Phone,-33.89293336,151.2022962
5050101537A4A,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/27/14 11:45,Phone,-33.88417103,151.20235
5050101532B23,CHIPPENDALE,a3dfe2f2e41135cee91149d5d5ffb323b30a6354,4/28/14 16:09,SMS,-33.88417103,151.20235
5.05E+106,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/28/14 17:15,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/28/14 17:17,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/28/14 17:19,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/28/14 18:43,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/28/14 19:07,SMS,-33.88032891,151.2056904
50501015388BC,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/29/14 10:20,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/29/14 16:46,Phone,-33.89293336,151.2022962
5.05E+106,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/29/14 17:43,SMS,-33.88032891,151.2056904
505010153111F,HAYMARKET #,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/29/14 17:46,SMS,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,c8f92bd0f4e6fb45ed7fce96fc831b283db2b642,5/1/14 18:14,Phone,-33.88032891,151.2056904
505010153424C,SURRY HILLS 418A ELIZABETH ST,a7bacedaea853cb0ca57d3a32c17bff1b52f778b,5/1/14 23:35,Phone,-33.8864,151.2088
5050101531F08,REDFERN TE,6616bfb47a35997d9d91c2d8d5fa4970ecbf501d,5/2/14 8:13,Phone,-33.89293336,151.2022962
5050101528CFE,SYDNEY DOMESTIC TERMINAL T2 - VIRGIN,6616bfb47a35997d9d91c2d8d5fa4970ecbf501d,5/2/14 9:18,Phone,-33.93416,151.17938
5050101528CFE,SYDNEY DOMESTIC TERMINAL T2 - VIRGIN,746da741fb2ac66a5130b1ce2ee4615a58b356ae,5/2/14 10:07,Phone,-33.93416,151.17938
5050101531F05,REDFERN TE,630c8438e4e5b0ca3b649a321787003bbf53f631,5/2/14 11:13,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/2/14 15:34,Phone,-33.89293336,151.2022962
5050101528CFE,SYDNEY DOMESTIC TERMINAL T2 - VIRGIN,6616bfb47a35997d9d91c2d8d5fa4970ecbf501d,5/2/14 16:58,Phone,-33.93416,151.17938
505012950048F,HOBART AIRPORT,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/2/14 20:44,Phone,-42.83762,147.50575
505012950048F,HOBART AIRPORT,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/2/14 20:44,SMS,-42.83762,147.50575
505012950048F,HOBART AIRPORT,91aba4a11359ff3af7902428d20cfa7e676c36e7,5/2/14 20:45,Phone,-42.83762,147.50575
505012950037C,SUNDERLAND ST,a804558e420ececf05faedf05722704a115f1b50,5/2/14 21:14,SMS,-42.84338,147.29569
5050129505A15,BRICKWORKS,8e009917afae92a1d48d73229678ca56ba16f3b6,5/2/14 21:16,SMS,-42.85984,147.29215
505012950601A,SUNDERLAND ST,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/2/14 21:17,SMS,-42.84338,147.29569
505012950601A,SUNDERLAND ST,a3dfe2f2e41135cee91149d5d5ffb323b30a6354,5/2/14 21:20,SMS,-42.84338,147.29569
505012950601A,SUNDERLAND ST,a3dfe2f2e41135cee91149d5d5ffb323b30a6354,5/2/14 21:20,SMS,-42.84338,147.29569
5.05E+12,NEW TOWN,cd3b39466869088df4904451c626591cc500e4ba,5/4/14 10:46,SMS,-42.85307,147.31532
505012950037F,SUNDERLAND ST,7b79c2b0f76f45c73ae121ece7cc9561dc3934b5,5/4/14 16:12,Phone,-42.84338,147.29569
5.05E+12,HOBART AIRPORT,91aba4a11359ff3af7902428d20cfa7e676c36e7,5/4/14 20:05,Phone,-42.83762,147.50575
5.05E+12,HOBART AIRPORT,91aba4a11359ff3af7902428d20cfa7e676c36e7,5/4/14 20:08,Phone,-42.83762,147.50575
5.05E+12,HOBART AIRPORT,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/4/14 20:10,Phone,-42.83762,147.50575
5.05E+12,HOBART AIRPORT,91aba4a11359ff3af7902428d20cfa7e676c36e7,5/4/14 20:10,Phone,-42.83762,147.50575
505012950048F,HOBART AIRPORT,91aba4a11359ff3af7902428d20cfa7e676c36e7,5/4/14 20:43,Phone,-42.83762,147.50575
5.05E+12,MOUNT RUMNEY,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/4/14 20:51,Phone,-42.8606,147.4542
5050101531F05,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,5/5/14 18:48,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,a24a4646d074a779b45b34b943a47bf33168f791,5/6/14 9:47,Phone,-33.89293336,151.2022962
5050101532B25,CHIPPENDALE,78bda7c1148bf47171a300ece6339c3f92e17a8a,5/6/14 9:52,Phone,-33.88417103,151.20235
5050101532B23,CHIPPENDALE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,5/6/14 18:10,Phone,-33.88417103,151.20235
5050101531F08,REDFERN TE,a24a4646d074a779b45b34b943a47bf33168f791,5/6/14 18:30,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,a24a4646d074a779b45b34b943a47bf33168f791,5/6/14 18:31,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,5/6/14 19:07,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,a24a4646d074a779b45b34b943a47bf33168f791,5/6/14 19:08,SMS,-33.89293336,151.2022962
50501015388B9,REDFERN TE,a24a4646d074a779b45b34b943a47bf33168f791,5/6/14 19:10,SMS,-33.89293336,151.2022962
505010153744F,CHINATOWN,a24a4646d074a779b45b34b943a47bf33168f791,5/7/14 14:52,SMS,-33.87829,151.20345
5.05E+106,HAYMARKET #,a24a4646d074a779b45b34b943a47bf33168f791,5/7/14 14:58,SMS,-33.88032891,151.2056904
5050101532B23,CHIPPENDALE,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/7/14 17:52,Phone,-33.88417103,151.20235
5050101532B23,CHIPPENDALE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,5/7/14 17:52,SMS,-33.88417103,151.20235
5050101532B21,CHIPPENDALE,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,5/7/14 17:55,Phone,-33.88417103,151.20235
5050101532B22,CHIPPENDALE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,5/7/14 18:01,SMS,-33.88417103,151.20235
5050101532B22,CHIPPENDALE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,5/7/14 18:01,SMS,-33.88417103,151.20235
